map_10dl_1min_no_rs, map_10dl_1min_yes_rs, map_10dl_2min_no_rs, map_15dl_1min_no_rs, map_15dl_2min_no_rs, map_15dl_2min_yes_rs, map_20dl_1min_no_rs, map_20dl_2min_no_rs, map_20dl_2min_yes_rs, map_20dl_3min_no_rs, map_20dl_3min_yes_rs
1.041708365357998503e+02,1.041682278364256149e+02,1.041692950514472216e+02,1.041682471615205969e+02,1.041699099807865991e+02,1.041685788362427019e+02,1.041693199472614850e+02,1.041688050887622694e+02,1.041685775179307569e+02,1.041696390036341313e+02,1.041700862225090134e+02
1.044511366156908707e+02,1.044489941522385408e+02,1.044503644224909209e+02,1.044487036440755077e+02,1.044504589743728928e+02,1.044492123737790621e+02,1.044499038777022122e+02,1.044493279897828018e+02,1.044493580530168373e+02,1.044504295668577925e+02,1.044495760193212988e+02
1.047667137558800619e+02,1.047651086373095808e+02,1.047660726408711582e+02,1.047654086617287845e+02,1.047657475427412948e+02,1.047654210291972419e+02,1.047659097226483738e+02,1.047654972298561091e+02,1.047647741989768377e+02,1.047666500546712740e+02,1.047654003554234379e+02
1.050568494966194351e+02,1.050557104343315444e+02,1.050562711499324564e+02,1.050572485765647741e+02,1.050553914773490050e+02,1.050564215782870292e+02,1.050569697520235479e+02,1.050564406465795741e+02,1.050545176620966998e+02,1.050574059687237423e+02,1.050569180356368832e+02
1.051252885971717603e+02,1.051250443324730810e+02,1.051255072971284079e+02,1.051274521074538058e+02,1.051239724826458541e+02,1.051262650174788007e+02,1.051268569965813384e+02,1.051262329935457416e+02,1.051238408841683594e+02,1.051264283576688570e+02,1.051272033309078040e+02
1.049001399078002379e+02,1.049012581883331876e+02,1.049011758072158926e+02,1.049029462813559377e+02,1.048994463532923191e+02,1.049020239614002747e+02,1.049026458256109322e+02,1.049019964093142505e+02,1.049003510943567363e+02,1.049013535960535393e+02,1.049028416727589388e+02
1.045617231641941203e+02,1.045640784291640131e+02,1.045628621800819360e+02,1.045641022160273366e+02,1.045620726261717124e+02,1.045635856385825093e+02,1.045641977955914115e+02,1.045637384292925702e+02,1.045631906673986151e+02,1.045628696315474855e+02,1.045640603435948179e+02
1.043456411647480735e+02,1.043478649218840957e+02,1.043466283234945848e+02,1.043472672817217273e+02,1.043469168261566864e+02,1.043470811173228867e+02,1.043475587147740242e+02,1.043474314380366366e+02,1.043478716047458903e+02,1.043467101739350227e+02,1.043474564721365141e+02
1.042822593203029697e+02,1.042836189003036651e+02,1.042834270713210287e+02,1.042829682354852139e+02,1.042835058341445915e+02,1.042829720691236304e+02,1.042836444611724289e+02,1.042838644528587366e+02,1.042845992593230307e+02,1.042829360880281513e+02,1.042836363754389595e+02
1.042166997150420258e+02,1.042171130615224115e+02,1.042183825697414790e+02,1.042170265695475848e+02,1.042174205171988746e+02,1.042168283546378973e+02,1.042179852629747501e+02,1.042183530164453060e+02,1.042189928817583962e+02,1.042173373789037356e+02,1.042175717841002154e+02
1.040736137239245096e+02,1.040731001533839333e+02,1.040756989946476665e+02,1.040745038929110962e+02,1.040739300897111264e+02,1.040734381549870875e+02,1.040747762736031774e+02,1.040751098101334122e+02,1.040756665590699725e+02,1.040744464328920316e+02,1.040738245114855971e+02
1.039913150019800128e+02,1.039905734529323809e+02,1.039936931905295836e+02,1.039928508795141511e+02,1.039917336429459453e+02,1.039909734697237411e+02,1.039917746794703675e+02,1.039922427391514361e+02,1.039924898405922846e+02,1.039919101647481625e+02,1.039908777366683665e+02
1.041360630218407124e+02,1.041357798957076426e+02,1.041384186387442270e+02,1.041372134263228872e+02,1.041370010035122817e+02,1.041358376957935832e+02,1.041354345186781245e+02,1.041358767283083324e+02,1.041356008550235828e+02,1.041357520039607039e+02,1.041352452182606640e+02
1.044587074778669518e+02,1.044586252140669700e+02,1.044607152179113854e+02,1.044587353177648765e+02,1.044601024482519165e+02,1.044586092685646435e+02,1.044580051938290524e+02,1.044575070964043135e+02,1.044567492522886738e+02,1.044576918937958965e+02,1.044580600592092168e+02
1.047231104480533759e+02,1.047226077886717377e+02,1.047246370663262809e+02,1.047224475916230944e+02,1.047239166324671089e+02,1.047230300600901671e+02,1.047233240536664454e+02,1.047217083081600322e+02,1.047211983634128387e+02,1.047220969947953364e+02,1.047229383600232353e+02
1.047867058048228870e+02,1.047860194710805359e+02,1.047877880456781270e+02,1.047861828184908148e+02,1.047859431107072510e+02,1.047866714690769072e+02,1.047880368323122298e+02,1.047861218037952398e+02,1.047864797589676016e+02,1.047866021815166278e+02,1.047867626814529700e+02
1.047554000020005702e+02,1.047551386824715536e+02,1.047561886048384423e+02,1.047557349458080012e+02,1.047537861748402008e+02,1.047553198699224595e+02,1.047573377420338971e+02,1.047567036865366674e+02,1.047573463088314156e+02,1.047567543892590720e+02,1.047553538368486130e+02
1.048045732954787326e+02,1.048050723232765336e+02,1.048057820486723415e+02,1.048057822713235367e+02,1.048038350631860709e+02,1.048048314471159728e+02,1.048063041672997286e+02,1.048076094500045627e+02,1.048081795777833918e+02,1.048067985786810965e+02,1.048044782085921014e+02
1.049227576987073576e+02,1.049240684899760367e+02,1.049247368717866209e+02,1.049240458996150096e+02,1.049237478829800239e+02,1.049234958575237329e+02,1.049241809048751009e+02,1.049261293608668240e+02,1.049269948407267492e+02,1.049244924657229632e+02,1.049228933343293448e+02
1.049289573886428997e+02,1.049304756130178333e+02,1.049305965437220038e+02,1.049296883359575219e+02,1.049308299351793323e+02,1.049296870923068070e+02,1.049298807168526224e+02,1.049314228057566680e+02,1.049325272547040839e+02,1.049291191384152455e+02,1.049289870056001774e+02
1.047329732860220020e+02,1.047334919740604846e+02,1.047329621658981154e+02,1.047328838315160766e+02,1.047338536223019361e+02,1.047329900313538076e+02,1.047326174453685326e+02,1.047338021287440455e+02,1.047346492923331311e+02,1.047313951808782662e+02,1.047319698051289265e+02
1.044788838626086829e+02,1.044779442244720542e+02,1.044770201712252344e+02,1.044781450688953441e+02,1.044780720394764870e+02,1.044779074016292810e+02,1.044771545741472494e+02,1.044782859976075997e+02,1.044785709209236586e+02,1.044760267801290325e+02,1.044766303013497861e+02
1.043675171285423176e+02,1.043658001812257510e+02,1.043645883620768871e+02,1.043668210761008339e+02,1.043662402235036097e+02,1.043660257905887789e+02,1.043650797724990866e+02,1.043666081212436580e+02,1.043664134367636365e+02,1.043645183312055167e+02,1.043650364198421556e+02
1.043957212470150608e+02,1.043941468538025106e+02,1.043930175347964564e+02,1.043955431322726781e+02,1.043949707655627464e+02,1.043943136831638157e+02,1.043933434418335082e+02,1.043953555672061526e+02,1.043946177565051414e+02,1.043938459125376994e+02,1.043938315136512216e+02
1.043807268646038722e+02,1.043797290348174016e+02,1.043794653117493993e+02,1.043810325321305044e+02,1.043805858428279549e+02,1.043801687396301929e+02,1.043791352345214563e+02,1.043810454618809018e+02,1.043796112644217970e+02,1.043807658807334775e+02,1.043794063328540318e+02
1.042303718490229443e+02,1.042297606046309397e+02,1.042309150900684784e+02,1.042305440438543940e+02,1.042304615900425802e+02,1.042309489118865287e+02,1.042293187229278715e+02,1.042307650661651053e+02,1.042288730043753731e+02,1.042314500790702283e+02,1.042293605928066853e+02
1.040768729849453820e+02,1.040765977275241596e+02,1.040786636861247842e+02,1.040767352199524254e+02,1.040766664236180503e+02,1.040785603080596502e+02,1.040755096004039331e+02,1.040766053397311452e+02,1.040750301526664856e+02,1.040774888406367751e+02,1.040760377505698813e+02
1.040942127312731174e+02,1.040939592616261962e+02,1.040959309672168160e+02,1.040940216812166454e+02,1.040931925544742143e+02,1.040962445283443571e+02,1.040922388200730637e+02,1.040927208778612538e+02,1.040924789647203852e+02,1.040940733918744741e+02,1.040934397296220340e+02
